competition,year,phase,date,time,date_precision,date_display,away_team,home_team,away_score,home_score,status,venue,notes,away_coach,home_coach,is_double_header,is_playoff,confidence_level
buafl,2025,Division 1 South Eastern,2026-02-15,13:00,day,,UCL Emperors,Brighton Panthers,8,24,completed,Falmer Campus,,,Ethan Butcher,,,high
buafl,2025,Division 1 South Eastern,2026-02-08,13:00,day,,Kingston Cougars,Brighton Panthers,0,24,completed,Falmer Campus,,,Ethan Butcher,,,high
buafl,2025,Division 1 South Eastern,2026-02-01,13:00,day,,KCL Regents,Brighton Panthers,14,0,completed,Falmer Campus,,,Ethan Butcher,,,high
buafl,2025,Division 1 South Eastern,2025-12-07,12:00,day,,Brighton Panthers,KCL Regents,8,13,completed,,,Ethan Butcher,,,,high
buafl,2025,Division 1 South Eastern,2025-11-23,15:00,day,,Brighton Panthers,Kent Falcons,0,24,completed,The Pavillion,,Ethan Butcher,,,,high
buafl,2025,Division 1 South Eastern,2025-11-16,12:00,day,,Brighton Panthers,Kingston Cougars,8,0,completed,,,Ethan Butcher,,,,high
buafl,2025,Division 1 South Eastern,2025-11-09,13:00,day,,Kent Falcons,Brighton Panthers,0,12,completed,Falmer Campus,,,Ethan Butcher,,,high
buafl,2025,Division 1 South Eastern,2025-11-02,15:30,day,,UCL Emperors,Brighton Panthers,0,43,completed,Falmer Campus,,,Ethan Butcher,,,high
buafl,2024,Division 1 Southern,2025-02-09,,day,,Brighton Panthers,Brunel Burners,8,45,completed,,,Georgia Teague,,,,high
buafl,2024,Division 1 Southern,2025-02-02,13:30,day,,Oxford Lancers,Brighton Panthers,30,0,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2024,Division 1 Southern,2025-01-19,13:30,day,,Reading Knights,Brighton Panthers,0,42,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2024,Division 1 Southern,2024-12-08,13:30,day,,Hertfordshire Hurricanes,Brighton Panthers,18,14,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2024,Division 1 Southern,2024-12-01,13:30,day,,Brunel Burners,Brighton Panthers,11,8,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2024,Division 1 Southern,2024-11-03,14:00,day,,Brighton Panthers,Hertfordshire Hurricanes,0,43,completed,,,Georgia Teague,,,,high
buafl,2024,Division 1 Southern,2024-10-27,12:00,day,,Brighton Panthers,Reading Knights,6,2,completed,,,Georgia Teague,,,,high
buafl,2023,Division 2 Southern,2024-02-11,13:30,day,,Sussex Saxons,Brighton Panthers,0,26,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2023,Division 2 Southern,2024-01-28,12:00,day,,Brighton Panthers,Surrey Stingers,28,20,completed,,,Georgia Teague,,,,high
buafl,2023,Division 2 Southern,2023-12-10,13:00,day,,Brighton Panthers,Solent Redhawks,32,6,completed,Test Park,,Georgia Teague,,,,high
buafl,2023,Division 2 Southern,2023-12-03,13:00,day,,Oxford Brookes University,Brighton Panthers,0,20,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2023,Division 2 Southern,2023-10-29,13:00,day,,Chichester Spitfires,Brighton Panthers,6,38,completed,Falmer Campus,,,Georgia Teague,,,high
buafl,2022,Division 2 Southern,2023-02-12,,day,,Brighton Panthers,Chichester Spitfires,34,0,completed,,,Ollie Kent,,,,high
buafl,2022,Division 2 Southern,2023-02-05,,day,,Brighton Panthers,Oxford Brookes University,20,6,completed,,,Ollie Kent,,,,high
buafl,2022,Division 2 Southern,2023-01-22,,day,,Surrey Stingers,Brighton Panthers,0,36,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2022,Division 2 Southern,2022-12-04,,day,,Brighton Panthers,Reading Knights,0,20,completed,,,Ollie Kent,,,,high
buafl,2022,Division 2 Southern,2022-11-20,,day,,Winchester Silverbacks,Brighton Panthers,8,38,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2022,Division 2 Southern,2022-11-13,,day,,Solent Redhawks,Brighton Panthers,19,32,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2021,Division 2 Southern,2022-02-20,,day,,Oxford Lancers,Brighton Panthers,20,6,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2021,Division 2 Southern,2022-02-06,,day,,UCL Emperors,Brighton Panthers,0,22,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2021,Division 2 Southern,2022-01-23,,day,,Brighton Panthers,Kingston Cougars,1,0,awarded,,Covid Walkover,Ollie Kent,,,,high
buafl,2021,Division 2 Southern,2021-12-12,,day,,Chichester Spitfires,Brighton Panthers,0,1,awarded,Falmer Campus,Covid Walkover,,Ollie Kent,,,high
buafl,2021,Division 2 Southern,2021-11-21,,day,,Winchester Silverbacks,Brighton Panthers,12,26,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2021,Division 2 Southern,2021-11-07,,day,,Oxford Brookes University,Brighton Panthers,14,14,completed,Falmer Campus,,,Ollie Kent,,,high
buafl,2019,Division 1 Southern,2020-02-15,,day,,Reading Knights,Brighton Panthers,14,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2019,Division 1 Southern,2020-02-01,,day,,Portsmouth Destroyers,Brighton Panthers,15,0,completed,Falmer Campus,,,Chris Denny,,,high
buafl,2019,Division 1 Southern,2020-01-25,,day,,Brighton Panthers,Surrey Stingers,6,18,completed,,,Chris Denny,,,,high
buafl,2019,Division 1 Southern,2019-11-30,,day,,Brighton Panthers,Reading Knights,6,39,completed,,,Chris Denny,,,,high
buafl,2019,Division 1 Southern,2019-11-24,,day,,Royal Holloway Bears,Brighton Panthers,42,6,completed,Falmer Campus,,,Chris Denny,,,high
