competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2018,Division 1 South Eastern,2018-12-09,Kent Falcons,Imperial Immortals,46,8,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 Midlands,2018-12-09,DMU Lions,Keele Crusaders,10,9,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Premier North,2018-12-09,Leeds Beckett Carnegie,Stirling Clansmen,25,9,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Premier North,2018-12-09,Nottingham Gold,Durham Saints,14,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Northern,2018-12-09,Northumbria Mustangs,Edinburgh Napier Knights,9,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Southern,2018-12-09,Brighton Panthers,Kingston Cougars,12,3,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Northern,2018-12-09,Hull Sharks,Newcastle Raiders,6,22,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Midlands,2018-12-09,Leicester Longhorns,Nottingham Trent Renegades,20,35,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 South Western,2018-12-09,Worcester Royals,Solent Redhawks,19,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 Borders,2018-12-09,YSJ Jaguars,Teesside Cougars,20,23,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 South Eastern,2018-12-09,Canterbury CC Chargers,UEA Pirates,0,37,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 South Western,2018-12-09,Bournemouth University Bobcats,Gloucestershire Gladiators,1,0,,,,,FALSE,day,,13:00,awarded,high,FALSE,FALSE,,,,
